Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  52,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,100
Client  53,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  54,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,100
Client  55,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,100
Client  57,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  58,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,100
Client  59,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,100
Client  61,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,100
Client  62,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,100
Client  64,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  65,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,100
Client  66,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,100
Client  67,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  68,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  69,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,100
Client  70,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,100
Client  71,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  72,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  73,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,100
Client  74,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  75,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  76,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  77,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,100
Client  78,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  79,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,100
Client  80,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,100
Client  82,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,100
Client  83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,100
Client  84,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  85,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,100
Client  86,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  87,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  88,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  89,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,100
Client  90,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  91,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client  92,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  93,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,100
Client  94,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,100
Client  95,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  96,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  97,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,100
Client  98,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  99,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,100
